,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,geo_bbox,tweet_coordinate,username,num_followers,search_keywords,search_neighbourhood,sentiment,score,score_matches,relevant,File #,From,Notes
1087,"@SecBlinken Safer place? That would require a major shift in US policy.
First, dismiss Victoria Nuland. She's been around since Clinton and all we got is war and destabilisation... https://t.co/oDDB9QAYNt",34:30.1,1.54E+18,2022-06-19 12:53:27+00:00,0,0,0,0,,,,,DenzelK105,168,Victoria (beacon community services OR fernwood community association OR mental health society of greater victoria OR safer victoria OR the existence project OR united way southern vancouver island OR victoria real estate board OR subsidized housing OR pit count OR front line OR front line worker OR stolen OR camper OR evicted OR collusion) lang:en -is:retweet,Victoria,Negative,0.844040334,Yes,No,1,Sheila,
1472,"Once again: HomesðŸ‘areðŸ‘forðŸ‘livingðŸ‘inðŸ‘
The speculation tax might be unpopular with the speculators that Kevin Falcon &amp; Ben Stewart spend time with, but people in my community support it because it has provided housing for thousands of people. #bcpolibc 
https://t.co/hIRf6HammL",39:52.9,1.54E+18,2022-06-14 21:17:00+00:00,11,1,38,22,,,,,GraceALore,4248,(from:eric_doherty OR from:self_govern4us OR from:murray_langdon OR from:dave_eby OR from:gracealore) (avi OR cool aid society OR homelessness services association of bc OR red cedar cafÃ© OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,individual,Positive,0.560083926,Yes,Yes,1,Sheila,
314,"â€œIâ€™m annoyed, Iâ€™m angry.â€ A woman says her sense of safety was destroyed when a peaceful afternoon stroll through a North Carolina park took a scary and disturbing turn. 

https://t.co/BfDC0dhAu3",32:54.3,1.54E+18,2022-06-20 13:00:03+00:00,0,0,0,1,,,,,Queen_City_News,41927,(esquimalt OR north park OR millstream OR victoria west OR topaz park OR 900-block pandora avenue OR tsawout) (avi OR cool aid society OR homelessness services association of bc OR red cedar cafÃ© OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,esquimalt OR north park OR millstream OR victoria west OR topaz park OR 900-block pandora avenue OR tsawout,Negative,0.917477846,Yes,No,1,Sheila,
167,"You see, Jessica Gonzales had an order of protection against her ex, a man with a history of violence against her and who had threatened to kill her and her three children. That order of protection, by the way, included the three kids. 

2/",32:29.8,1.54E+18,2022-06-19 03:20:09+00:00,6,7,7138,595,,,,,SJonesWasTaken,1478,"(sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsÃ¡neÄ‡) (anawim house OR district of north saanich OR island health OR rentsmart OR the cridge centre for the family OR town of view royal OR victoria native friendship centre OR low-income OR coordinated access ""and"" assessment OR frontline worker OR frontline OR violence OR low-income OR addict OR social housing) lang:en -is:retweet",sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsÃ¡neÄ‡,Negative,0.523406029,Yes,No,1,Sheila,
1130,"Lady is sad. She misses her owner. She sits all day with her head lowered and just waits. 
Carson CA. 

Lady
#A5461042 
Pit Bull 
2 years
Owner surrender 
RESCUE ONLY

Carson Shelter 
310-523-9566216 
W Victoria St. 
Gardena, CA 90248

https://t.co/QckuE9eVCu https://t.co/Lva6vaGqbn",34:31.7,1.54E+18,2022-06-20 19:03:34+00:00,0,0,1,0,,,,,carawil17888192,5166,"Victoria (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR salvation army victoria OR the homeless ideas podcast OR vancouver island mental health society OR victoria sexual assault centre OR peer housing support OR pit OR frontline worker OR healthcare OR encampment OR camping OR eviction OR overdose) lang:en -is:retweet",Victoria,Negative,0.705914736,Yes,No,1,Sheila,
1237,"@GenIsSolo I got caught in regional Victoria last year, one week to my road trip (from SA). Spent 4.5 months in my tent (moving around when lockdowns lifted) waiting for ANY border to open, or even to get in Melbourne!

Crossing any border now is worth celebrating!!",34:33.3,1.54E+18,2022-06-19 02:27:01+00:00,1,0,1,0,,,,,Limecello,4648,Victoria (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,Victoria,Negative,0.442693353,Yes,No,1,Sheila,
914,#KeroseneEffect  Rahul Gandhi was with Tejaswi Yadav in UK. Soon violence happens very like BLM in 2020. Did someone take instructions and money funneled from the masters George Soros and Victoria Nuland to burn India? Will some intel guys investigate?,34:25.3,1.54E+18,2022-06-18 06:19:05+00:00,0,0,1,2,,,,,MelissaSturko,436,"Victoria (anawim house OR district of north saanich OR island health OR rentsmart OR the cridge centre for the family OR town of view royal OR victoria native friendship centre OR low-income OR coordinated access ""and"" assessment OR frontline worker OR frontline OR violence OR low-income OR addict OR social housing) lang:en -is:retweet",Victoria,Negative,0.722065747,Yes,No,1,Sheila,
549,#JobSearch:  @saanich Customer Service / File Clerk - https://t.co/aSHBW93at9 #Municipal #BC,33:36.3,1.54E+18,2022-06-17 01:10:03+00:00,0,0,0,0,,,,,GGGGail,101,(saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat) (aryze developments OR district of saanich OR literacy victoria OR restorative justice victoria OR the downtown victoria business association OR township of esquimalt OR victoria placemaking OR emergency housing OR reaching home OR front line worker OR front line OR thief OR homeless OR addicted OR povertypimps) lang:en -is:retweet,saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat,Neutral,0.943767786,yes,no,2,Shreya,
424,@GovKathyHochul This is amazing news! I hope this will help many in Rockland County who need this relief! @evawyner @Tomche490 @Avi__Goldstein,33:20.0,1.54E+18,2022-06-17 21:03:39+00:00,1,0,3,0,,,,,lohud,99242,(oak bay OR rockland OR quadra OR beacon hill park OR harris green OR coast salish OR tseycum) (avi OR cool aid society OR homelessness services association of bc OR red cedar cafÃ© OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,oak bay OR rockland OR quadra OR beacon hill park OR harris green OR coast salish OR tseycum,Positive,0.981452048,yes,No,2,Shreya,Labelled as unknown
630,"Get a free home valuation report today! We're ready and waiting to help...

Residential / Commercial Real Estate Sales / Leasing in Greater Victoria &amp; lower Vancouver Island, BC, Canada. https://t.co/2P1KrnFccw https://t.co/mKaykuCdZM",34:02.8,1.54E+18,2022-06-14 20:43:07+00:00,0,0,0,0,,,,,DougSunray,9,Greater Victoria (bc housing OR downtown victoria business association OR makola housing society OR rotary club of victoria OR dvba OR umbrella society OR victoria ready OR affordable housing OR point in time OR frontline OR frontline worker OR theft OR homelessness OR drugs OR collude) lang:en -is:retweet,Greater Victoria,Neutral,0.57423538,yes,no,2,Shreya,
704,"â€œWhen they dug that foundation, they did find bones,â€ Victoria County Heritage Director Jeff Wright said. â€œThey assumed the bones were those of the De Leon family and moved them to Evergreen Cemetery.â€ https://t.co/HFuK5AIuk0",34:20.6,1.54E+18,2022-06-16 11:00:10+00:00,0,0,0,0,,,,,uEducateUs,11,Victoria (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,Victoria,Neutral,0.946287096,yes,no,2,Shreya,
1335,"RT @VicBuilders: ""candidates decry the pace of development in the city"" #Langford biggest source of missing middle housing for young families. https://t.co/RMKAVEQbxH Anti-development candidates would obstruct supply &amp; drive up costs https://t.co/Znk3cvqe3j #yyj",35:15.7,1.54E+18,2022-06-17 17:06:00+00:00,0,0,0,0,,,,,mattdellok,2169,YYJ (avi OR cool aid society OR homelessness services association of bc OR red cedar cafÃ© OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,YYJ,Negative,0.829340696,yes,yes,2,Shreya,
702,"@RailaOdinga 
Get your delicious Original L. Victoria Tilapia Fish at affordable prices.
Get me on 0706396084

Thanks",34:20.6,1.54E+18,2022-06-16 11:31:12+00:00,0,0,0,0,,,,,WLIAus,7746,Victoria (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,Victoria,Positive,0.616434693,yes,no,2,Shreya,
662,"Clinical director - Mental Health - Australia, Victoria This health service is a highly respected respected public health care provider. They have a strong commitment to providing first class care to ... Apply Now at https://t.co/m2y5UjFR4n  @SpinnerMedical #Psychiatry #Australia",34:20.6,1.54E+18,2022-06-19 11:01:55+00:00,0,0,0,0,,,,,MarkHubbard33,5153,Victoria (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,Victoria,Positive,0.797250092,yes,no,2,Shreya,
1448,"Canadian summer camp operators facing post-pandemic staff shortages, climbing costs https://t.co/Lpno05R9pK",39:36.0,1.54E+18,2022-06-18 20:33:28+00:00,0,0,0,0,,,,,CHEK_News,52523,(from:cfax1070 OR from:chek_news OR from:ctvnewsvi OR from:timescolonist OR from:adam_stirling) (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,individual,Negative,0.527696371,yes,no,2,Shreya,
986,"Brunette milf Victoria Rose visits fitish-addicted gyno doctor

        https://t.co/4VRyvtrZ1s",34:26.8,1.54E+18,2022-06-15 05:51:44+00:00,0,0,0,0,,,,,sleebogdan,861,Victoria (aryze developments OR district of saanich OR literacy victoria OR restorative justice victoria OR the downtown victoria business association OR township of esquimalt OR victoria placemaking OR emergency housing OR reaching home OR front line worker OR front line OR thief OR homeless OR addicted OR povertypimps) lang:en -is:retweet,Victoria,Neutral,0.877649486,yes,no,2,Shreya,
1289,"If I were your Mayor, here is what I would do about the Missing Middle Housing Initiative. Please be kind, I do not have an editor!

#YYJpoli #MMHI #VictoriaBC #Victoria2022

https://t.co/lOMM2K84wO https://t.co/mrrmVgaSTM",34:38.1,1.54E+18,2022-06-16 23:27:52+00:00,4,7,13,2,,,,,MS_athlete,1740,VictoriaBC (avi OR cool aid society OR homelessness services association of bc OR red cedar cafÃ© OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,VictoriaBC,Neutral,0.64608258,yes,yes,2,Shreya,
1376,"Join us for this exciting summer program exploring the plays of Shakespeare! Teen's work to produce a play by Shakespeare. The ultimate summer camp experience for teens passionate about theatre! #yyj #yyjarts #summercamp #victoriabc  

LEARN MORE &gt;&gt; https://t.co/D9yPfwraeb https://t.co/K6dn6OYkf8",35:23.5,1.54E+18,2022-06-16 02:00:36+00:00,0,0,0,0,,,,,Kaleidoscope_Ca,1375,YYJ (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,YYJ,Positive,0.963820934,yes,no,2,Shreya,
305,@klustout @chungfun do please take a look at the poor North Lawn adjacent to the museum if you get a chance ðŸ™https://t.co/laWiwyYcUd,32:52.8,1.54E+18,2022-06-17 03:25:32+00:00,0,0,8,0,,,,,Transit_Jam,2496,(esquimalt OR north park OR millstream OR victoria west OR topaz park OR 900-block pandora avenue OR tsawout) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,esquimalt OR north park OR millstream OR victoria west OR topaz park OR 900-block pandora avenue OR tsawout,Neutral,0.546585917,yes,No,2,Shreya,Labelled as unknown
1231,"Big announcement. WE'VE GOT NEWS!!! ðŸ“£ðŸ¥³ Introducing the brand new Lilikoi Club studio and pop-up shop - located in the vibrant and lively Fernwood neighbourhood of Victoria, BC. â£
â£
Looking to bring your business to a temporary brick and mortar space?â€¦ https://t.co/Nm8oruGlqh https://t.co/yHYDZYRKIG",34:33.3,1.54E+18,2022-06-19 21:47:06+00:00,0,0,0,0,,,,,Shambazuva,12736,Victoria (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,Victoria,Positive,0.945899785,yes,no,2,Shreya,
510,@TalktoARYZE Even factoring in self-interest I will never understand how anyone thinks the housing form in places like The Uplands or Shaughnessy is any kind of urban utopia. Never seeing anyone and having nothing to walk to isn't community by any definition.,33:33.3,1.54E+18,2022-06-16 23:11:56+00:00,2,0,4,0,,,,,HomesForLiving_,941,(saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat) (avi OR cool aid society OR homelessness services association of bc OR red cedar cafÃ© OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat,Negative,0.79584229,yes,yes,2,Shreya,
887,@victoria_racing All written by men some used for movies with violence,34:25.3,1.54E+18,2022-06-19 23:05:11+00:00,2,0,1,0,,,,,FixatedUnits,1255,"Victoria (anawim house OR district of north saanich OR island health OR rentsmart OR the cridge centre for the family OR town of view royal OR victoria native friendship centre OR low-income OR coordinated access ""and"" assessment OR frontline worker OR frontline OR violence OR low-income OR addict OR social housing) lang:en -is:retweet",Victoria,Negative,0.791793287,yes,no,2,Shreya,
1203,#Discover How Athletic Therapist Victoria Cleary was Inspired by Her Patient to Change Her Habitsâ€”and Heal Herself https://t.co/PX4Z4Uhinx https://t.co/TmyK2W3GWi,34:31.7,1.54E+18,2022-06-15 23:28:09+00:00,0,0,0,0,,,,,R4ine_Dr0ps,1270,"Victoria (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR salvation army victoria OR the homeless ideas podcast OR vancouver island mental health society OR victoria sexual assault centre OR peer housing support OR pit OR frontline worker OR healthcare OR encampment OR camping OR eviction OR overdose) lang:en -is:retweet",Victoria,Positive,0.679792464,yes,no,2,Shreya,
690,"ELACCA congratulates @DanAndrewsMP and @Dom_Perrottet on giving our youngest learners the opportunity to access affordable, high-quality education in the most important years of their lives. More in our media release https://t.co/IWufMp14gi

#bigrolesinlittlelives #preschool",34:20.6,1.54E+18,2022-06-17 04:54:56+00:00,0,1,5,0,,,,,MadAsHellYYJ,12,Victoria (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,Victoria,Positive,0.956304789,yes,no,2,Shreya,
1479,"My plan for improved good governance at the City of Victoria | Stephen Andrew Announces Plan for Improved Good Governance #ANDREW2022 #YYJPOLI
https://t.co/4T5ZZrd4Qn",40:03.6,1.54E+18,2022-06-18 19:56:14+00:00,3,0,12,3,"Victoria, British Columbia",4fdbcad8c3ed7790,"[-123.394397, 48.403014, -123.322362, 48.450447]",,Stephen_Andrew,4388,(from:stephen_andrew OR from:ninethreeseven OR from:coryresilient OR from:hattiecosta1 OR from:photowarrior) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,individual,Positive,0.786157191,yes,no,2,Shreya,
1251,"Royals defenceman Gannon Laroque receives invite to Team Canada World Junior selection camp â€“ Victoria Royals
https://t.co/bTkISol5Nj",34:33.3,1.54E+18,2022-06-17 20:28:03+00:00,0,0,1,0,,,,,theage,941705,Victoria (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,Victoria,Neutral,0.868412077,yes,no,2,Shreya,
527,@walls_edward @MichelleLGro @yourowncook @DenverPolice Just moved to Central Park neighborhood from Wash park. Crime here is really high- several shootings. I regularly donâ€™t feel safe,33:33.3,1.54E+18,2022-06-15 22:03:46+00:00,1,0,1,0,,,,,CHEK_News,52523,(saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat) (avi OR cool aid society OR homelessness services association of bc OR red cedar cafÃ© OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat,Negative,0.855812848,yes,no,2,Shreya,
525,"@zacdevries Nice to see more housing being built, but it doesn't seem dense enough. Why not more height? Seems like a cop-out for this important corner of Saanich.",33:33.3,1.54E+18,2022-06-15 22:48:48+00:00,1,0,0,0,,,,,RobynChristofi1,628,(saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat) (avi OR cool aid society OR homelessness services association of bc OR red cedar cafÃ© OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat,Negative,0.622986197,yes,yes,2,Shreya,
1399,I'm pretty f##ckin sure that we should get a W on the BC Human Rights complaint form we are about to file against the City for shutting off the water supply during a pandemic to a encampment they allowed people to safe shelter in.And then made it impossible to do by law w/ Bylaws,37:22.1,1.54E+18,2022-06-13 23:21:22+00:00,0,0,4,0,,,,,BeaconHillFolks,1110,(from:beaconhillfolks OR from:housesooke OR from:outreachsolid OR from:thebackpackpro1 OR from:tagvictoriabc) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,individual,Negative,0.915634573,yes,yes,2,Shreya,
247,"@CareterraWind ""Follow me then, if you don't mind.

Bring your cold-weather gear as well, there is something in the Rayjord Gorge I need to show you"".

Razyel would say, as he motioned to follow, beginning to walk towards the east exit of the camp.",32:36.6,1.54E+18,2022-06-20 00:22:23+00:00,1,0,0,0,,,,,MakeASceneFilm,820,(sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsÃ¡neÄ‡) (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsÃ¡neÄ‡,Neutral,0.846129119,yes,no,2,Shreya,
410,"In January, approximately 60,000 bees were stolen from the GIANT Company headquarters in Carlisle. Four months later, the bees are back!
https://t.co/dcGxZIT255",33:12.4,1.54E+18,2022-06-20 17:46:06+00:00,0,0,1,1,,,,,abc27News,107980,(juan de fuca OR oaklands OR oak bay OR west shore OR cecelia ravine park OR pandora avenue OR pauquachin) (beacon community services OR fernwood community association OR mental health society of greater victoria OR safer victoria OR the existence project OR united way southern vancouver island OR victoria real estate board OR subsidized housing OR pit count OR front line OR front line worker OR stolen OR camper OR evicted OR collusion) lang:en -is:retweet,juan de fuca OR oaklands OR oak bay OR west shore OR cecelia ravine park OR pandora avenue OR pauquachin,Neutral,0.547063529,yes,no,2,Shreya,
,"_ÙÒ£åÊThe first of our Watercolour Pencils &amp; Ink Workshops is coming up soon! Learn watercolour techniques while bringing to life the vibrant colours of Victoria with NatureSketch expert Sue Macartney.

Sign up today https://t.co/CTCMTqEmLq

#NatureSketch #learntowatercolour https://t.co/LrvatHFaIB",34:33.3,1.54E+18,2022-06-15 00:01:02+00:00,0,0,1,1,,,,,EasterSealsBCY,679,Victoria (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,Victoria,Positive,0.715275645,No,No,3,Sangeeta,
,"@JennettaQB There's an organisation here in Victoria.... AHV.... Aboriginal Housing Victoria... now thoroughly confused... why so wrong for the word Aboriginal used by Ita?  Instead of living as a victim, Jeanette, wouldn't your life be happier if you felt empowered by your heritage",34:23.7,1.54E+18,2022-06-18 17:10:43+00:00,0,0,0,0,,,,,angthebandit,947,Victoria (avi OR cool aid society OR homelessness services association of bc OR red cedar cafÌ© OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,Victoria,Negative,0.805043876,Yes,Yes,3,Sangeeta,"Victoria, housing"
,Proposal: Report all verified intel to the Grand Hall. City resources can be utilized to assist in the location of Victoria.,34:22.2,1.54E+18,2022-06-20 18:54:04+00:00,0,0,0,0,,,,,fI0bot,24,Victoria (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,Victoria,Neutral,0.918906987,Yes,No,3,Sangeeta,
,"One way we can lower Chicago's traffic violence rate is road diets on streets that are too big for urban areas. 5-lane North Ave. has seen many fatal crashes. Wilberto Rivera, died Saturday after a driver struck him on 5/27 on North next to Humboldt Park.
https://t.co/wwRJCOLYkb https://t.co/hUxTCScW49",32:55.6,1.54E+18,2022-06-16 15:37:03+00:00,3,3,54,5,,,,,greenfieldjohn,7887,"(esquimalt OR north park OR millstream OR victoria west OR topaz park OR 900-block pandora avenue OR tsawout) (anawim house OR district of north saanich OR island health OR rentsmart OR the cridge centre for the family OR town of view royal OR victoria native friendship centre OR low-income OR coordinated access ""and"" assessment OR frontline worker OR frontline OR violence OR low-income OR addict OR social housing) lang:en -is:retweet",esquimalt OR north park OR millstream OR victoria west OR topaz park OR 900-block pandora avenue OR tsawout,Negative,0.706161857,No,No,3,Sangeeta,Shd be nuetral
,"This is a great initiative kudos to @ConcertProp

It would be great if this program could be joined by other building owners and extended to include housing homeless citizens https://t.co/7kMBDGMQdx",01:13.1,1.54E+18,2022-06-17 16:43:58+00:00,0,0,0,0,,,,,alanrycroft,1195,(from:majatait OR from:adriandix OR from:r_garrison OR from:elizabethmay OR from:alanrycroft) (aryze developments OR district of saanich OR literacy victoria OR restorative justice victoria OR the downtown victoria business association OR township of esquimalt OR victoria placemaking OR emergency housing OR reaching home OR front line worker OR front line OR thief OR homeless OR addicted OR povertypimps) lang:en -is:retweet,individual,Positive,0.957758904,Yes,Yes,3,Sangeeta,
,"@oneunderscore__ @korisidaway It's happening in Canada, too. Yesterday in Victoria BC: https://t.co/KZxFW1UNEZ",34:25.3,1.54E+18,2022-06-18 01:29:52+00:00,0,0,12,7,,,,,Dan_Cam,173,"Victoria (anawim house OR district of north saanich OR island health OR rentsmart OR the cridge centre for the family OR town of view royal OR victoria native friendship centre OR low-income OR coordinated access ""and"" assessment OR frontline worker OR frontline OR violence OR low-income OR addict OR social housing) lang:en -is:retweet",Victoria,Neutral,0.870769083,Yes,No,3,Sangeeta,The main tweet may be more informative
,"Please join the M'akola team in congratulating Alita Tocher, Senior Director of Housing Operations, in obtaining her Graduate Certificate in Project Management. We had no doubt you could do it Alita, you're a rock star at everything you do. So honoured you are a part of our team. https://t.co/Qv7itH0EzB",38:32.3,1.54E+18,2022-06-18 16:01:37+00:00,0,1,10,0,,,,,VANDUpeople,8107,(from:svdpvi OR from:makolahousing OR from:vandupeople OR from:spd_community OR from:anawimhouse) (avi OR cool aid society OR homelessness services association of bc OR red cedar cafÌ© OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,individual,Positive,0.981896996,Yes,No,3,Sangeeta,
,"Victoria's DPP is seemingly seeking special leave at @highcourtofaus to appeal a VSCA decision that lowered a rape sentence from 8 to 3 years, citing D's lack of criminal record and lack of 'violence': https://t.co/QI02EBtoKG. https://t.co/IXAVYLl87q",34:25.3,1.54E+18,2022-06-20 06:41:52+00:00,0,0,0,1,,,,,jeremy_gans,4879,"Victoria (anawim house OR district of north saanich OR island health OR rentsmart OR the cridge centre for the family OR town of view royal OR victoria native friendship centre OR low-income OR coordinated access ""and"" assessment OR frontline worker OR frontline OR violence OR low-income OR addict OR social housing) lang:en -is:retweet",Victoria,Neutral,0.777177632,Yes,No,3,Sangeeta,
,Trying to get these water balloons ready to throw at Victoria and dropped them all on myself‰Û_ lmao,34:28.6,1.54E+18,2022-06-18 17:05:01+00:00,0,0,0,0,,,,,ward1wilson,5243,Victoria (bc housing OR downtown victoria business association OR makola housing society OR rotary club of victoria OR dvba OR umbrella society OR victoria ready OR affordable housing OR point in time OR frontline OR frontline worker OR theft OR homelessness OR drugs OR collude) lang:en -is:retweet,Victoria,Negative,0.547679722,Yes,No,3,Sangeeta,
,"@milkyoatlatte night shift by lucy dacus
cats by macseal
new year‰Ûªs eve (2010 rerelease) by mal blum
such great heights by the postal service
little secrets by passion pit
a better son/daughter by rilo kiley
sin triangle by sidney gish
all of Crush on Me by sir babygirl, but especially Heels",31:52.8,1.54E+18,2022-06-17 02:43:35+00:00,1,0,0,0,,,,,anicanyounot,1266,"(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR salvation army victoria OR the homeless ideas podcast OR vancouver island mental health society OR victoria sexual assault centre OR peer housing support OR pit OR frontline worker OR healthcare OR encampment OR camping OR eviction OR overdose) lang:en -is:retweet",colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Positive,0.656929731,No,No,3,Sangeeta,
,"@abcnews I hope this package includes an assurance that women only crisis services will remain female only? Here in Victoria men are abusing sex self ID laws intended for trans people to access women only services like homelessness, DV, rape crisis, causing vulnerable women further trauma",34:28.6,1.54E+18,2022-06-18 05:39:15+00:00,3,0,19,1,,,,,pamela01116318,78,Victoria (bc housing OR downtown victoria business association OR makola housing society OR rotary club of victoria OR dvba OR umbrella society OR victoria ready OR affordable housing OR point in time OR frontline OR frontline worker OR theft OR homelessness OR drugs OR collude) lang:en -is:retweet,Victoria,Negative,0.760881007,Yes,yes,3,Sangeeta,
